Site,provide_metadata,provide_descriptive_metadata,provide_data_license_information,provide_data_provenance_information,provide_data_quality_information,provide_a_version_indicator,provide_version_history,gather_feedback_from_data_consumers,make_feedback_available,provide_bulk_download,provide_data_up_to_date,use_persistent_URIs_as_identifiers_of_datasets,use_machine_readable_standardized_data_formats,provide_data_in_multiple_formats,assess_dataset_coverage,provide_feedback_to_the_original_publisher,cite_the_original_publication
http://brasil.gov.br,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
http://faq-login-unico.servicos.gov.br/en/latest/,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0
http://paineldecompras.economia.gov.br,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0
http://revistas.ifpr.edu.br/,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0
http://solicitacao.servicos.gov.br/,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0
http://www.acessoainformacao.gov.br/,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
http://www.psu.uem.br/,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
https://apps.apple.com/br/app/carteira-digital-de-tr%C3%A2nsito/id1275057217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
https://apps.apple.com/br/app/conecte-sus/id1045754608,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
https://apps.apple.com/br/app/id1506827551,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
https://arapongas.ifpr.edu.br,1,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0
https://assis.ifpr.edu.br/,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0
https://assis.ifpr.edu.br/nossos-cursos/pos-graduacoes/especializacao-em-ensino-de-ciencias-e-matematica/,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0
https://assis.ifpr.edu.br/nossos-cursos/pos-graduacoes/especializacao-em-governanca-corporativa-e-sustentabilidade/,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0
https://astorga.ifpr.edu.br/,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
